id,title,episodes_info,rate,cover_x,url,playable,cover,cover_y,is_new
35014075,剧场版 假面骑士零一 REAL×TIME,null,8.7,1500,https://movie.douban.com/subject/35014075/,true,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2633360972.webp,2108,false
34786960,北斋,null,6.7,1449,https://movie.douban.com/subject/34786960/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2573680137.webp,2048,false
34858550,午夜天鹅,null,7.5,640,https://movie.douban.com/subject/34858550/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614297584.webp,904,false
34961632,凶宅怪谈,null,5.4,640,https://movie.douban.com/subject/34961632/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604585245.webp,906,false
34925402,顺其自然的日子,null,6.8,1000,https://movie.douban.com/subject/34925402/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595012485.webp,1399,false
34869125,461个便当,null,6.9,640,https://movie.douban.com/subject/34869125/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2607531601.webp,906,false
35280913,蓝色,null,7.1,750,https://movie.douban.com/subject/35280913/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2632012218.webp,1061,false
34905613,初恋,null,6.7,3042,https://movie.douban.com/subject/34905613/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2617789244.webp,4300,false
35054837,新网球王子 冰帝 vs 立海 Game of Future,null,6.9,639,https://movie.douban.com/subject/35054837/,true,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2619484634.webp,900,false
35072961,哀愁灰姑娘,null,5.7,1060,https://movie.douban.com/subject/35072961/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2619218709.webp,1500,false
34930803,心理测量者3：第一监视者,null,7.9,2898,https://movie.douban.com/subject/34930803/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2586461877.webp,4096,false
35009761,秘密账号,null,5.6,640,https://movie.douban.com/subject/35009761/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2592941015.webp,904,false
35426419,隐瞒之事 剧场剪辑版 秘密是什么,null,8.3,750,https://movie.douban.com/subject/35426419/,true,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2647259411.webp,1061,false
35182677,犬部！,null,6.6,750,https://movie.douban.com/subject/35182677/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642827176.webp,1059,false
34905647,由宇子的天平,null,7.7,1449,https://movie.douban.com/subject/34905647/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2669199796.webp,2048,false
30207998,白箱,null,8.2,1738,https://movie.douban.com/subject/30207998/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2581005581.webp,2457,false
26935250,飙速宅男,null,6.9,826,https://movie.douban.com/subject/26935250/,true,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2611588399.webp,1170,false
33465595,亲爱的她,null,6.7,1448,https://movie.douban.com/subject/33465595/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2603714542.webp,2048,false
34858084,超越无限两分钟,null,7.0,640,https://movie.douban.com/subject/34858084/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2592364659.webp,905,false
34906719,脚步,null,7.7,826,https://movie.douban.com/subject/34906719/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2612195569.webp,1168,false
